Objeto,ActivoRender,Colecciones,Xmin_m,AlturaMin_m,Zmin_m,Xmax_m,AlturaMax_m,Zmax_m,DX_m,Altura_m,DZ_m,EscalaX,EscalaY,EscalaZ,Alertas_no_dictamen
Nervio portón 12.53,True,SITE,12.512499732896686,0.15500003099441528,0.14999999664723873,12.547499733045697,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 12.85,True,SITE,12.83250038139522,0.15500003099441528,0.14999999664723873,12.867500381544232,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 13.17,True,SITE,13.15250007621944,0.15500003099441528,0.14999999664723873,13.187500076368451,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 13.49,True,SITE,13.472499771043658,0.15500003099441528,0.14999999664723873,13.50749977119267,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Nervio portón 13.81,True,SITE,13.792500419542193,0.15500003099441528,0.14999999664723873,13.827500419691205,2.01500004529953,0.1999999973922968,0.03500000014901161,1.8600000143051147,0.05000000074505806,0.03500000014901161,0.05000000074505806,1.8600000143051147,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Riel portón,True,SITE,10.899999976158142,0.05000000447034836,0.12000000104308128,14.100000023841858,0.13000000268220901,0.2200000025331974,3.200000047683716,0.07999999821186066,0.10000000149011612,1.0,1.0,1.0,
Luz subacuática 0,True,SITE,19.799999695271254,-0.6750000044703484,15.609999805688858,19.839999694377184,-0.5650000050663948,15.789999812841415,0.03999999910593033,0.10999999940395355,0.18000000715255737,1.0,1.0,1.0,
Luz subacuática 1,True,SITE,19.799999695271254,-0.6750000044703484,17.110000759363174,19.839999694377184,-0.5650000050663948,17.290000766515732,0.03999999910593033,0.10999999940395355,0.18000000715255737,1.0,1.0,1.0,
Placa calle | Cedro Misionero,True,SITE,9.58784970636765,1.6090999841471507,-0.10050004066308456,10.471849769397577,1.6790999882141755,-0.09949996262507324,0.8840000630299265,0.07000000406702478,0.0010000780380113178,1.0,1.0,1.0,
Placa calle | fondo,True,SITE,9.289999723434448,1.5299999862909317,-0.08500000275671482,10.769999742507935,1.7499999850988388,-0.06500000320374966,1.4800000190734863,0.2199999988079071,0.019999999552965164,1.0,1.0,1.0,
Losa planta baja,True,GROUND_FLOOR,14.0,0.0,-0.0,22.0,0.1599999964237213,12.0,8.0,0.1599999964237213,12.0,1.0,1.0,1.0,
Fachada ciega de ladrillo,True,GROUND_FLOOR,14.0,0.0,-0.0,22.0,3.0,0.20000000298023224,8.0,3.0,0.20000000298023224,1.0,1.0,1.0,
Marco superior fachada,True,GROUND_FLOOR,13.940000057220459,2.7199998944997787,-0.1600000001490116,22.05999994277954,2.9999998956918716,0.12000000104308128,8.119999885559082,0.2800000011920929,0.2800000011920929,1.0,1.0,1.0,
Pilar esquina frontal izquierda,True,GROUND_FLOOR,14.00000011920929,0.0,-0.0,14.260000109672546,3.0,0.25999999046325684,0.25999999046325684,3.0,0.25999999046325684,1.0,1.0,1.0,
Pilar esquina frontal derecha,True,GROUND_FLOOR,21.74000084400177,0.0,-0.0,22.000000834465027,3.0,0.25999999046325684,0.25999999046325684,3.0,0.25999999046325684,1.0,1.0,1.0,
Muro lateral monoambiente,True,GROUND_FLOOR,14.00000037997961,0.0,-0.0,14.200000382959843,3.0,6.0,0.20000000298023224,3.0,6.0,1.0,1.0,1.0,
Medianera constructiva baja,True,GROUND_FLOOR,21.799999617040157,0.0,-0.0,21.99999962002039,3.0,12.0,0.20000000298023224,3.0,12.0,1.0,1.0,1.0,
Dintel puerta doble,True,GROUND_FLOOR,16.75,2.3600000739097595,5.899999998509884,19.25,3.0000000596046448,6.100000001490116,2.5,0.6399999856948853,0.20000000298023224,1.0,1.0,1.0,
Puerta doble mono izquierda vidrio,True,GROUND_FLOOR,16.80999916791916,0.26999998092651367,6.202500255778432,17.949999153614044,2.569999933242798,6.211500255391002,1.1399999856948853,2.299999952316284,0.008999999612569809,1.1399999856948853,0.008999999612569809,2.299999952316284,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda Vidrio interior,True,GROUND_FLOOR,16.81170916557312,0.2734498977661133,6.2285002786666155,17.948289155960083,2.5665500164031982,6.237500278279185,1.136579990386963,2.293100118637085,0.008999999612569809,1.136579990386963,0.008999999612569809,2.293100118637085,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda marco superior,True,GROUND_FLOOR,16.72799915075302,2.5289999321103096,6.157500267028809,18.031999170780182,2.610999934375286,6.282500267028809,1.3040000200271606,0.0820000022649765,0.125,1.3040000200271606,0.125,0.0820000022649765,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda marco inferior,True,GROUND_FLOOR,16.72799915075302,0.2290000095963478,6.157500267028809,18.031999170780182,0.3110000118613243,6.282500267028809,1.3040000200271606,0.0820000022649765,0.125,1.3040000200271606,0.125,0.0820000022649765,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda marco izquierdo,True,GROUND_FLOOR,16.768999464809895,0.26999998092651367,6.157500267028809,16.85099946707487,2.569999933242798,6.282500267028809,0.0820000022649765,2.299999952316284,0.125,0.0820000022649765,0.125,2.299999952316284,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda marco derecho,True,GROUND_FLOOR,17.909000761806965,0.26999998092651367,6.157500267028809,17.99100076407194,2.569999933242798,6.282500267028809,0.0820000022649765,2.299999952316284,0.125,0.0820000022649765,0.125,2.299999952316284,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono izquierda alféizar,True,GROUND_FLOOR,16.773099184036255,0.19250000268220901,5.807999759912491,17.98689913749695,0.23750000447034836,5.987999767065048,1.2137999534606934,0.04500000178813934,0.18000000715255737,1.0,1.0,1.0,
Puerta doble mono derecha vidrio,True,GROUND_FLOOR,18.050000846385956,0.26999998092651367,6.202500255778432,19.19000083208084,2.569999933242798,6.211500255391002,1.1399999856948853,2.299999952316284,0.008999999612569809,1.1399999856948853,0.008999999612569809,2.299999952316284,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
Puerta doble mono derecha Vidrio interior,True,GROUND_FLOOR,18.051710844039917,0.2734498977661133,6.2285002786666155,19.18829083442688,2.5665500164031982,6.237500278279185,1.136579990386963,2.293100118637085,0.008999999612569809,1.136579990386963,0.008999999612569809,2.293100118637085,NON_UNITY_OBJECT_SCALE_REVIEW_CONTEXT
